,molecule_chembl_id,IC50,units,smiles,pIC50
109,CHEMBL366281,56.0,nM,O=C(O)[C@H](Cc1ccccc1)Oc1ccc(-c2ccc(-c3c(Cc4ccccc4)oc4ccccc34)cc2)cc1Br,7.251811972993799
110,CHEMBL187610,58.0,nM,O=C(O)[C@@H](Cc1ccccc1)Oc1ccc(-c2ccc(-c3c(Cc4ccccc4)sc4ccccc34)cc2)cc1Br,7.236572006437063
111,CHEMBL198939,60.0,nM,COc1cc(CN(Cc2ccc(-c3csnn3)cc2)S(=O)(=O)c2ccc(OCC(=O)O)cc2)ccc1C(F)(F)P(=O)(O)O,7.221848749616356
112,CHEMBL267954,60.0,nM,O=C(OCc1ccccc1)C(Cc1ccc(C(F)(F)P(=O)(O)O)cc1)(Cc1ccc(C(F)(F)P(=O)(O)O)cc1)C(=O)OCc1ccccc1,7.221848749616356
113,CHEMBL261418,60.0,nM,O=C(Nc1ccccc1)c1ccc2cc(Br)c(C(F)(F)P(=O)(O)O)cc2n1,7.221848749616356
114,CHEMBL212147,60.0,nM,O=C1CC(c2ccc(CC(NS(=O)(=O)c3cccc(Cl)c3)c3nc4ccccc4[nH]3)cc2)S(=O)(=O)N1,7.221848749616356
115,CHEMBL266056,60.0,nM,O=C(c1ccccc1)C(Cc1ccc(C(F)(F)P(=O)(O)O)cc1)(Cc1ccc(C(F)(F)P(=O)(O)O)cc1)c1ccccc1,7.221848749616356
116,CHEMBL290496,61.0,nM,O=C(O)[C@@H](Cc1ccccc1)Oc1c(Br)cc(-c2c3ccccc3c(Br)c3sc4ccccc4c23)cc1Br,7.214670164989233
117,CHEMBL383437,63.0,nM,N#Cc1ccc(S(=O)(=O)NC(Cc2ccc(C3CC(=O)NS3(=O)=O)cc2)c2nc3ccccc3[nH]2)cc1,7.200659450546418
118,CHEMBL3747361,64.0,nM,O=C1C[C@@H](c2ccc(C[C@H](NS(=O)(=O)c3cccc(F)c3)c3nc(Cc4ccccc4F)c[nH]3)cc2)S(=O)(=O)N1,7.1938200260161125
119,CHEMBL428589,64.0,nM,O=C1CC(c2ccc(CC(NS(=O)(=O)c3cccc(F)c3)C3=NC[C@@H](Cc4ccccc4F)N3)cc2)S(=O)(=O)N1,7.1938200260161125
